City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,namdrik,5.5994,168.1028,27.97,70,38,0.7,MH,1697565249
161,taungoo,18.9333,96.4333,23.35,95,68,0.58,MM,1697565250
162,mount gambier,-37.8333,140.7667,5.35,89,0,2.07,AU,1697564965
163,harper,4.375,-7.7169,26.04,83,60,2.63,LR,1697565250
164,phan rang-thap cham,11.5667,108.9833,25.21,91,91,1.87,VN,1697565250
165,santa maria,-29.6842,-53.8069,19.61,94,75,4.12,BR,1697565167
166,antsiranana,-12.2787,49.2917,24.31,82,8,5.63,MG,1697565250
167,khawr fakkan,25.3313,56.342,31.03,73,0,2.47,AE,1697565251
168,akureyri,65.6835,-18.0878,2.96,87,40,1.03,IS,1697565251
169,la'ie,21.6477,-157.9253,27.25,88,15,2.49,US,1697565251
170,woolgoolga,-30.1106,153.2007,15.93,72,86,6.35,AU,1697565251
171,yuzhno-kurilsk,44.0306,145.8556,10.76,75,98,13.49,RU,1697565252
172,idri,27.5,13.2667,26.83,14,12,2.29,LY,1697565252
173,mont-joli,48.5839,-68.1921,7.72,81,75,3.09,CA,1697565252
174,neiafu,-18.65,-173.9833,24.38,78,40,5.14,TO,1697565252
175,talnakh,69.4865,88.3972,-0.44,98,100,3.79,RU,1697565233
176,nogliki,51.8333,143.1667,9.08,84,99,3.13,RU,1697565253
177,ndjole,-0.1783,10.7649,24.6,96,90,1.43,GA,1697565253
178,sampit,-2.5333,112.95,25.34,88,69,1.58,ID,1697565253
179,zhezqazghan,47.7833,67.7667,11.25,40,0,4.22,KZ,1697565254
180,seeb,23.6703,58.1891,32.05,70,40,2.57,OM,1697565254
181,uturoa,-16.7333,-151.4333,26.32,77,100,6.84,PF,1697565254
182,weno,7.4515,151.8468,28.17,75,73,1.2,FM,1697565254
183,arraial do cabo,-22.9661,-42.0278,27.98,69,0,5.66,BR,1697565254
184,mao,39.8885,4.2658,22.31,88,0,2.57,ES,1697565254
185,badger,64.8,-147.5333,0.55,88,100,1.54,US,1697565255
186,balfour,-26.6633,28.5902,10.08,78,51,3.33,ZA,1697565255
187,yokadouma,3.5167,15.05,21.77,98,100,1.19,CM,1697565255
